"time","總指數_年增率(%)"
"1981",NA
"1982",2.9514760001
"1983",1.3767410001
"1984",-0.0319540001
"1985",-0.1598210001
"1986",0.6883300001
"1987",0.5246420001
"1988",1.2810370001
"1989",4.4191130001
"1990",4.1274110001
"1991",3.6191300001
"1992",4.4629240001
"1993",2.9454690001
"1994",4.0984660001
"1995",3.6647270001
"1996",3.0813330001
"1997",0.9037190001
"1998",1.6879090001
"1999",0.1693770001
"2000",1.2512680001
"2001",1e-10
"2002",-0.2004010001
"2003",-0.2788930001
"2004",1.6109180001
"2005",2.3010020001
"2006",0.6026690001
"2007",1.7971760001
"2008",3.5203870001
"2009",-0.8628570001
"2010",0.9625230001
"2011",1.4198780001
"2012",1.9300000001
